2014/12/02, Tuesday, 7-9p, Gilman #1
2014/12/02, Tuesday, 7-9p, Gilman #2
2014/12/02, Tuesday, 7-9p, Gilman #3
2014/12/02, Tuesday, 7-9p, Gilman #4
2014/12/02, Tuesday, 7-9:30p, San Pablo #1
2014/12/02, Tuesday, 7-9:30p, San Pablo #2

2014/12/04, Thursday, 9-11p, Gilman #1
2014/12/04, Thursday, 9-11p, Gilman #2
2014/12/04, Thursday, 7-9:30p, San Pablo #1
2014/12/04, Thursday, 7-9:30p, San Pablo #2


2014/12/09, Tuesday, 7-9p, Gilman #1
2014/12/09, Tuesday, 7-9p, Gilman #2
2014/12/09, Tuesday, 7-9p, Gilman #3
2014/12/09, Tuesday, 7-9p, Gilman #4
2014/12/09, Tuesday, 7-9:30p, San Pablo #1
2014/12/09, Tuesday, 7-9:30p, San Pablo #2

2014/12/11, Thursday, 9-11p, Gilman #1
2014/12/11, Thursday, 9-11p, Gilman #2
2014/12/11, Thursday, 7-9:30p, San Pablo #1
2014/12/11, Thursday, 7-9:30p, San Pablo #2


2014/12/16, Tuesday, 7-9p, Gilman #1
2014/12/16, Tuesday, 7-9p, Gilman #2
2014/12/16, Tuesday, 7-9p, Gilman #3
2014/12/16, Tuesday, 7-9p, Gilman #4
2014/12/16, Tuesday, 7-9:30p, San Pablo #1
2014/12/16, Tuesday, 7-9:30p, San Pablo #2

2014/12/18, Thursday, 9-11p, Gilman #1
2014/12/18, Thursday, 9-11p, Gilman #2
2014/12/18, Thursday, 7-9:30p, San Pablo #1
2014/12/18, Thursday, 7-9:30p, San Pablo #2


2015/01/06, Tuesday, 7-9p, Gilman #1
2015/01/06, Tuesday, 7-9p, Gilman #2
2015/01/06, Tuesday, 9-11p, Gilman #1
2015/01/06, Tuesday, 9-11p, Gilman #2

2015/01/08, Thursday, 9-11p, Gilman #1
2015/01/08, Thursday, 9-11p, Gilman #2
2015/01/08, Thursday, 7-9:30p, San Pablo #1
2015/01/08, Thursday, 7-9:30p, San Pablo #2


2015/01/13, Tuesday, 7-9p, Gilman #1
2015/01/13, Tuesday, 7-9p, Gilman #2
2015/01/13, Tuesday, 9-11p, Gilman #1
2015/01/13, Tuesday, 9-11p, Gilman #2

2015/01/15, Thursday, 9-11p, Gilman #1
2015/01/15, Thursday, 9-11p, Gilman #2
2015/01/15, Thursday, 7-9:30p, San Pablo #1
2015/01/15, Thursday, 7-9:30p, San Pablo #2


2015/01/20, Tuesday, 7-9p, Gilman #1
2015/01/20, Tuesday, 7-9p, Gilman #2
2015/01/20, Tuesday, 9-11p, Gilman #1
2015/01/20, Tuesday, 9-11p, Gilman #2

2015/01/22, Thursday, 9-11p, Gilman #1
2015/01/22, Thursday, 9-11p, Gilman #2
2015/01/22, Thursday, 7-9:30p, San Pablo #1
2015/01/22, Thursday, 7-9:30p, San Pablo #2


2015/01/27, Tuesday, 7-9p, Gilman #1
2015/01/27, Tuesday, 7-9:30p, San Pablo #1
2015/01/27, Tuesday, 7-9:30p, San Pablo #2

2015/01/29, Thursday, 9-11p, Gilman #1
2015/01/29, Thursday, 9-11p, Gilman #2
2015/01/29, Thursday, 7-9:30p, San Pablo #1
2015/01/29, Thursday, 7-9:30p, San Pablo #2


2015/02/03, Tuesday, 7-9p, Gilman #1
2015/02/03, Tuesday, 7-9p, Gilman #2
2015/02/03, Tuesday, 9-11p, Gilman #1
2015/02/03, Tuesday, 9-11p, Gilman #2
2015/02/03, Tuesday, 7-9:30p, San Pablo #2
